county,stname,ctyname,variable,value,year.label
510,Maryland,Baltimore city,npopchg_2010,143,2010
000,Maryland,Maryland,npopchg_2011,50349,2011
001,Maryland,Allegany County,npopchg_2011,-404,2011
003,Maryland,Anne Arundel County,npopchg_2011,5467,2011
005,Maryland,Baltimore County,npopchg_2011,6237,2011
009,Maryland,Calvert County,npopchg_2011,330,2011
011,Maryland,Caroline County,npopchg_2011,-167,2011
013,Maryland,Carroll County,npopchg_2011,-193,2011
015,Maryland,Cecil County,npopchg_2011,394,2011
017,Maryland,Charles County,npopchg_2011,2026,2011
019,Maryland,Dorchester County,npopchg_2011,6,2011
021,Maryland,Frederick County,npopchg_2011,3059,2011
023,Maryland,Garrett County,npopchg_2011,7,2011
025,Maryland,Harford County,npopchg_2011,1469,2011
027,Maryland,Howard County,npopchg_2011,4951,2011
029,Maryland,Kent County,npopchg_2011,35,2011
031,Maryland,Montgomery County,npopchg_2011,15546,2011
033,Maryland,Prince George's County,npopchg_2011,7932,2011
035,Maryland,Queen Anne's County,npopchg_2011,453,2011
037,Maryland,St. Mary's County,npopchg_2011,1796,2011
039,Maryland,Somerset County,npopchg_2011,-211,2011
041,Maryland,Talbot County,npopchg_2011,67,2011
043,Maryland,Washington County,npopchg_2011,1032,2011
045,Maryland,Wicomico County,npopchg_2011,1080,2011
047,Maryland,Worcester County,npopchg_2011,0,2011
510,Maryland,Baltimore city,npopchg_2011,-563,2011
000,Maryland,Maryland,npopchg_2012,48081,2012
001,Maryland,Allegany County,npopchg_2012,-626,2012
003,Maryland,Anne Arundel County,npopchg_2012,5567,2012
005,Maryland,Baltimore County,npopchg_2012,5226,2012
009,Maryland,Calvert County,npopchg_2012,397,2012
011,Maryland,Caroline County,npopchg_2012,-256,2012
013,Maryland,Carroll County,npopchg_2012,13,2012
015,Maryland,Cecil County,npopchg_2012,192,2012
017,Maryland,Charles County,npopchg_2012,1478,2012
019,Maryland,Dorchester County,npopchg_2012,-221,2012
021,Maryland,Frederick County,npopchg_2012,2380,2012
023,Maryland,Garrett County,npopchg_2012,-184,2012
025,Maryland,Harford County,npopchg_2012,1852,2012
027,Maryland,Howard County,npopchg_2012,5634,2012
029,Maryland,Kent County,npopchg_2012,-277,2012
031,Maryland,Montgomery County,npopchg_2012,14019,2012
